"","motherroll","ID_1","layer_1","od_1","metdate_1","mettime_1","weblength_1","webspeed_1","wirefeedrate_1","windingpressure_1","evaporationpressure_1","wirefeed1_1","wirefeed2_1","wirefeed3_1","wirefeed4_1","wirefeed5_1","wirefeed6_1","wirefeed7_1","wirefeed8_1","wirefeed9_1","wirefeed10_1","wirefeed11_1","wirefeed12_1","wirefeed13_1","wirefeed14_1","wirefeed15_1","wirefeed16_1","wirefeed17_1","wirefeed18_1","wirefeed19_1","wirefeed20_1","wirefeed21_1","wirefeed22_1","boatpower1_1","boatpower2_1","boatpower3_1","boatpower4_1","boatpower5_1","boatpower6_1","boatpower7_1","boatpower8_1","boatpower9_1","boatpower10_1","boatpower11_1","boatpower12_1","boatpower13_1","boatpower14_1","boatpower15_1","boatpower16_1","boatpower17_1","boatpower18_1","boatpower19_1","boatpower20_1","boatpower21_1","boatpower22_1","probe1_1","probe2_1","probe3_1","probe4_1","probe5_1","probe6_1","probe7_1","probe8_1","probe9_1","probe10_1","probe11_1","probe12_1","probe13_1","probe14_1","probe15_1","probe16_1","probe17_1","probe18_1","probe19_1","probe20_1","created_1","batch","materialnumber","material","measurementdate","LaserNass_d10","LaserNass_d50","LaserNass_d90","LaserNass_span","Malvern_d10","Malvern_d50","Malvern_d90","Malvern_span","Rakelapplikationsw-KartonRotoS01500_a*45","Rakelapplikationsw-KartonRotoS01500_b*45","GC-MS_Isopropanol-Gehalt","GC-MS_Acetongehalt","KOH25%AQSB-012_AktiverMetallgehalt","Ofenmethode_Festkörpergehalt","GC-MS_Isopropylacetat-Gehalt","TGA-RD_Gehaltreleasecoat","TGA-RD_Al(0)alsAlN","RakelapplikationPapierSonderlacksystem_L*15","RakelapplikationPapierSonderlacksystem_L*45","RakelapplikationPapierSonderlacksystem_L*110","NA_Alman-Index","NA_dE*45","RakelapplikationPapierSonderlacksystem_Glanz20","REM-Messung_Verteilungsbreite","REM-Messung_t50%","REM-Messung_t-span","RakelapplikationPapierSonderlacksystem_L*-15","RakelapplikationPapierSonderlacksystem_a*-15","RakelapplikationPapierSonderlacksystem_a*15","RakelapplikationPapierSonderlacksystem_a*45","RakelapplikationPapierSonderlacksystem_b*-15","RakelapplikationPapierSonderlacksystem_b*15","RakelapplikationPapierSonderlacksystem_b*45","RakelapplikationPapierSonderlacksystem_dE*110","REM-Messung_Anteil%>35nm","RakelapplikationPapierSonderlacksystem_a*110","RakelapplikationPapierSonderlacksystem_b*110","NA_L*25","NA_L*75","RakelapplikationPapierSonderlacksystem_Glanz20.1","RakelapplikationPapierSonderlacksystem_Glanz60","RakelapplikationPapierSonderlacksystem_Glanz85","REM-Messung_t-Spangroß","Rakelapplikationsw-KartonRotoS01500_a*110","Rakelapplikationsw-KartonRotoS01500_a*15","Rakelapplikationsw-KartonRotoS01500_a*-15","Rakelapplikationsw-KartonRotoS01500_b*110","Rakelapplikationsw-KartonRotoS01500_b*15","Rakelapplikationsw-KartonRotoS01500_b*-15","TGA-RD_Al(0)alsAlN.1","Rakelapplikationsw-KartonRotoS01500_dE*110","GC-MS_Ethylacetat-Gehalt","TGA-RD_Gehaltreleasecoat.1","Rakelapplikationsw-KartonRotoS01500_Glanz20","Rakelapplikationsw-KartonRotoS01500_Glanz60","Rakelapplikationsw-KartonRotoS01500_Glanz85","Rakelapplikationsw-KartonRotoS01500_L*110","Rakelapplikationsw-KartonRotoS01500_L*15","Rakelapplikationsw-KartonRotoS01500_L*-15","Rakelapplikationsw-KartonRotoS01500_L*45","GC-MS_Toluolgehalt","Rheologie_SpeichermodulLVE","Rheologie_SpeichermodulFliessgrenze","NA_dE*45.1","RakelapplikationPapierSonderlacksystem_dE*110.1","Rakelapplikationsw-KartonCAB0065_dE*110","id","batch_material","batch_materialnumber","batch_manufacturingdate","batch_process","batch_type","predecessor_material","predecessor_materialnumber","predecessor_manufacturingdate","predecessor_process","predecessor_type"
"1","7000000335",869307,NA,NA,2021-05-04,NA,18410.3145434047,695.286471251409,108.771138669673,0.268686583990981,0.000922676437429538,111.943742953777,107.318151071026,99.232694475761,98.8949267192785,97.7842164599775,97.1056369785795,97.8922209695603,96.6028184892897,98.2967305524239,97.3978579481398,97.7993235625705,98.8732807215333,98.4856820744081,97.530214205186,97.743404735062,98.0675310033822,98.2411499436302,98.1935738444194,98.0647125140924,98.7137542277339,107.595152198422,112.264825253664,8.72491544532131,8.83201803833146,8.76764374295378,8.74611048478016,8.6988726042841,8.66888387824126,8.64588500563698,8.5803833145434,8.90879368658399,8.74148816234498,8.72547914317926,8.86020293122886,8.56719278466742,8.77542277339346,8.73201803833145,8.72198421645998,8.73923337091319,8.78196166854566,8.76065388951522,8.75851183765502,8.95828635851184,8.96809470124014,5.40428410372041,1.05693348365276,1.27429537767756,1.12367531003382,1.17632468996618,1.04881623449831,1.20281848928974,1.09853438556933,1.14622322435175,1.09875986471251,1.14216459977452,1.12908680947012,1.07564825253664,1.15501691093574,1.18759864712514,1.13100338218715,1.20845546786922,1.21578354002255,1.33517474633596,5.82593010146561,NA,"6000010309",135709,"VP13240",2021-08-25,10.19,23.385,41.785,1.35,10.5,22.9,41.5,1.35,0.5,1.8,96,3.5,75,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,-0.2,0.8,0.6,0.9,1.1,74.5,9.5,NA,4.3,249,308,97.9,11.9,113.3,139.2,25.7,NA,NA,NA,NA,NA,NA,1006,"VP13240",135709,2021-08-26,"C1",NA,"MetPETFoil-Al-AC0, bds4f14",109797,2021-05-06,NA,"gamma"
"2","7000000335",869307,NA,NA,2021-05-04,NA,18410.3145434047,695.286471251409,108.771138669673,0.268686583990981,0.000922676437429538,111.943742953777,107.318151071026,99.232694475761,98.8949267192785,97.7842164599775,97.1056369785795,97.8922209695603,96.6028184892897,98.2967305524239,97.3978579481398,97.7993235625705,98.8732807215333,98.4856820744081,97.530214205186,97.743404735062,98.0675310033822,98.2411499436302,98.1935738444194,98.0647125140924,98.7137542277339,107.595152198422,112.264825253664,8.72491544532131,8.83201803833146,8.76764374295378,8.74611048478016,8.6988726042841,8.66888387824126,8.64588500563698,8.5803833145434,8.90879368658399,8.74148816234498,8.72547914317926,8.86020293122886,8.56719278466742,8.77542277339346,8.73201803833145,8.72198421645998,8.73923337091319,8.78196166854566,8.76065388951522,8.75851183765502,8.95828635851184,8.96809470124014,5.40428410372041,1.05693348365276,1.27429537767756,1.12367531003382,1.17632468996618,1.04881623449831,1.20281848928974,1.09853438556933,1.14622322435175,1.09875986471251,1.14216459977452,1.12908680947012,1.07564825253664,1.15501691093574,1.18759864712514,1.13100338218715,1.20845546786922,1.21578354002255,1.33517474633596,5.82593010146561,NA,"6000010255",135709,"VP13240",2021-08-19,10.0975,24.595,40.2,1.28,10.7,23,40.9,1.31,0.5,2,93.1,6.5,74.5,11,0.2,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.1,0.6,1,1.5,1.7,72.6,8.6,0.1,4.98,228,301,100,12.9,113.9,140.7,27.2,NA,NA,NA,NA,NA,NA,1199,"VP13240",135709,2021-08-20,"C1",NA,"MetPETFoil-Al-AC0, bds4f14",109797,2021-05-06,NA,"gamma"
"3","7000000336",870988,NA,NA,2021-05-04,NA,17849.7580466149,686.648945615982,107.724861265261,0.265806881243063,0.00126841342952275,112.242841287458,107.42641509434,98.3397336293008,98.4118756936737,97.8317425083241,97.2739178690344,97.5697003329634,98.0472807991121,97.8856825749168,97.5377358490566,97.7207547169811,98.1743618201998,97.9275249722531,97.4146503884573,97.5125416204218,97.6669256381798,97.8551609322975,97.9877913429523,97.7530521642619,97.7508324084351,107.136958934517,111.93307436182,8.89789123196448,8.87547169811321,8.82319644839068,8.80932297447281,8.80510543840178,8.63718091009989,8.7031076581576,8.65660377358491,9.04306326304107,8.8284128745838,8.79100998890122,8.8354051054384,8.58179800221976,8.82597114317425,8.7708102108768,8.7881243063263,8.73473917869034,8.82519422863485,8.78623751387347,8.85005549389567,8.91176470588235,9.07502774694784,5.75615982241953,1.06859045504994,1.30754716981132,1.09722530521643,1.15482796892342,1.03185349611543,1.13085460599334,1.05449500554939,1.04750277469478,1.04339622641509,1.10954495005549,1.0723640399556,1.03496115427303,1.11820199778024,1.11664816870144,1.08224195338513,1.11176470588235,1.1023307436182,1.22819089900111,5.24261931187569,NA,"6000010277",135709,"VP13240",2021-08-19,9.82,21.58,37.75,1.29,10.2,21.5,38,1.29,0.5,1.9,92.8,6.8,75.4,11.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,-0.1,0.5,0.8,1.5,1.6,74.2,8.9,NA,4.5,223,305,100,12.1,113.8,141,26,NA,NA,NA,NA,NA,NA,1200,"VP13240",135709,2021-08-20,"C1",NA,"MetPETFoil-Al-AC0, bds4f14",109797,2021-05-06,NA,"gamma"
"4","7000000336",870988,NA,NA,2021-05-04,NA,17849.7580466149,686.648945615982,107.724861265261,0.265806881243063,0.00126841342952275,112.242841287458,107.42641509434,98.3397336293008,98.4118756936737,97.8317425083241,97.2739178690344,97.5697003329634,98.0472807991121,97.8856825749168,97.5377358490566,97.7207547169811,98.1743618201998,97.9275249722531,97.4146503884573,97.5125416204218,97.6669256381798,97.8551609322975,97.9877913429523,97.7530521642619,97.7508324084351,107.136958934517,111.93307436182,8.89789123196448,8.87547169811321,8.82319644839068,8.80932297447281,8.80510543840178,8.63718091009989,8.7031076581576,8.65660377358491,9.04306326304107,8.8284128745838,8.79100998890122,8.8354051054384,8.58179800221976,8.82597114317425,8.7708102108768,8.7881243063263,8.73473917869034,8.82519422863485,8.78623751387347,8.85005549389567,8.91176470588235,9.07502774694784,5.75615982241953,1.06859045504994,1.30754716981132,1.09722530521643,1.15482796892342,1.03185349611543,1.13085460599334,1.05449500554939,1.04750277469478,1.04339622641509,1.10954495005549,1.0723640399556,1.03496115427303,1.11820199778024,1.11664816870144,1.08224195338513,1.11176470588235,1.1023307436182,1.22819089900111,5.24261931187569,NA,"6000010249",135709,"VP13240",2021-08-16,10.16,21.59,36.59,1.22,10.4,21.4,37.8,1.28,0.5,1.9,93.4,5.7,74,10.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,-0.1,0.5,0.9,0.8,1.3,73.9,4.5,NA,4.3,231,304,99,12.7,115.1,138.7,26.5,NA,NA,NA,NA,NA,NA,682,"VP13240",135709,2021-08-18,"C1",NA,"MetPETFoil-Al-AC0, bds4f14",109797,2021-05-06,NA,"gamma"
"5","7000000337",872627,NA,NA,2021-05-04,NA,18257.1751351351,676.066486486486,105.547027027027,0.265602162162162,0.000566601405405405,113.997081081081,103.807135135135,98.9496216216216,98.6858378378378,97.8085405405405,97.2109189189189,97.7403243243243,92.4918918918919,98.1854054054054,97.6441081081081,98.0410810810811,98.796972972973,97.8549189189189,96.7125405405405,98.0067027027027,102.698054054054,107.227567567568,102.971459459459,97.365945945946,97.179027027027,107.712648648649,112.296324324324,8.63459459459459,8.89275675675676,8.96432432432433,8.99978378378378,8.89091891891892,8.80713513513514,8.77956756756757,8.69318918918919,9.09383783783784,8.95859459459459,8.76681081081081,9.01881081081081,8.8172972972973,8.67643243243243,8.79664864864865,8.96302702702703,8.89005405405405,9.16043243243243,8.71491891891892,9.02345945945946,8.98432432432432,9.22778378378378,5.61297297297297,1.09189189189189,1.16248648648649,1.26659459459459,1.228,1.08497297297297,1.13545945945946,1.06227027027027,1.028,1.02389189189189,1.0707027027027,1.05102702702703,1.02745945945946,0.998918918918919,0.851891891891892,0.75427027027027,0.871891891891892,0.958378378378378,1.08443243243243,5.05632432432432,NA,"6000010332",135709,"VP13240",2021-08-26,10.53,22.66,39.4,1.27,10.7,22.6,40.3,1.31,0.5,1.7,96.1,3.6,74.7,11.6,0.3,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,-0.2,0.7,0.6,NA,0.8,73.2,8.3,NA,4.4,266,323,99.3,11.1,109.4,137.7,24.7,NA,NA,NA,NA,NA,NA,576,"VP13240",135709,2021-08-30,"C1",NA,"MetPETFoil-Al-AC0, bds4f14",109797,2021-05-06,NA,"gamma"
"6","7000000337",872627,NA,NA,2021-05-04,NA,18257.1751351351,676.066486486486,105.547027027027,0.265602162162162,0.000566601405405405,113.997081081081,103.807135135135,98.9496216216216,98.6858378378378,97.8085405405405,97.2109189189189,97.7403243243243,92.4918918918919,98.1854054054054,97.6441081081081,98.0410810810811,98.796972972973,97.8549189189189,96.7125405405405,98.0067027027027,102.698054054054,107.227567567568,102.971459459459,97.365945945946,97.179027027027,107.712648648649,112.296324324324,8.63459459459459,8.89275675675676,8.96432432432433,8.99978378378378,8.89091891891892,8.80713513513514,8.77956756756757,8.69318918918919,9.09383783783784,8.95859459459459,8.76681081081081,9.01881081081081,8.8172972972973,8.67643243243243,8.79664864864865,8.96302702702703,8.89005405405405,9.16043243243243,8.71491891891892,9.02345945945946,8.98432432432432,9.22778378378378,5.61297297297297,1.09189189189189,1.16248648648649,1.26659459459459,1.228,1.08497297297297,1.13545945945946,1.06227027027027,1.028,1.02389189189189,1.0707027027027,1.05102702702703,1.02745945945946,0.998918918918919,0.851891891891892,0.75427027027027,0.871891891891892,0.958378378378378,1.08443243243243,5.05632432432432,NA,"6000010374",135709,"VP13240",2021-09-02,10.15,22.4,39.295,1.31,10.5,22.5,40.3,1.32,0.6,1.9,95,4.7,74.7,11.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.2,0.7,1,2,2.3,73.3,7.4,NA,4.7,232,314,94.9,11.3,110.3,136.9,24.9,NA,NA,NA,NA,NA,NA,577,"VP13240",135709,2021-09-06,"C1",NA,"MetPETFoil-Al-AC0, bds4f14",109797,2021-05-06,NA,"gamma"
"7","7000000341",878940,NA,NA,2021-05-07,NA,17971.6523754345,713.291772885284,111.561181923523,0.263404403244496,0.000625401738122827,113.040556199305,107.936152954809,99.1454229432213,98.619235225956,97.874044032445,97.6045191193511,98.0955967555041,90.7847045191193,98.2906141367323,97.8907300115875,98.0973348783314,98.6055619930475,98.3858632676709,98.0434530706837,98.277056778679,98.3971031286211,98.31483198146,98.1426419466976,98.060023174971,98.3559675550406,107.372305909618,112.342757821553,8.91958285052144,8.91726535341831,8.98308227114716,8.84020857473928,8.99003476245655,8.77276940903824,8.78088064889919,8.40672074159907,9.03603707995365,8.79884125144844,8.98667439165701,8.94669756662804,8.84820393974508,8.84797219003476,9.18528389339513,8.84380069524913,8.68157589803013,8.84542294322132,8.87381228273465,8.93487833140209,8.96164542294322,9.11517960602549,5.02294322132097,1.03557358053302,1.23580533024334,1.10648899188876,1.16129779837775,1.07937427578216,1.2053302433372,1.02862108922364,1.03939745075319,1.03928157589803,1.11286210892236,1.08539976825029,1.08146002317497,1.13997682502897,1.1720741599073,1.05735805330243,1.1720741599073,1.09003476245655,0.969409038238702,5.75874855156431,NA,"6000010460",135709,"VP13240",2021-09-13,10.35,22.14,38.62,1.28,10.6,22,39.2,1.3,0.5,1.8,96.25,3.53,74,9.7,0.15,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.1,0.8,0.8,1.5,2.3,71.9,9.9,0.02,5.5,254,325,99.8,10.9,109.8,137.5,24.3,0.01,NA,NA,NA,NA,NA,578,"VP13240",135709,2021-09-19,"C1",NA,"MetPETFoil-Al-AC0, bds4f14",109797,2021-05-10,NA,"gamma"
"8","7000000341",878940,NA,NA,2021-05-07,NA,17971.6523754345,713.291772885284,111.561181923523,0.263404403244496,0.000625401738122827,113.040556199305,107.936152954809,99.1454229432213,98.619235225956,97.874044032445,97.6045191193511,98.0955967555041,90.7847045191193,98.2906141367323,97.8907300115875,98.0973348783314,98.6055619930475,98.3858632676709,98.0434530706837,98.277056778679,98.3971031286211,98.31483198146,98.1426419466976,98.060023174971,98.3559675550406,107.372305909618,112.342757821553,8.91958285052144,8.91726535341831,8.98308227114716,8.84020857473928,8.99003476245655,8.77276940903824,8.78088064889919,8.40672074159907,9.03603707995365,8.79884125144844,8.98667439165701,8.94669756662804,8.84820393974508,8.84797219003476,9.18528389339513,8.84380069524913,8.68157589803013,8.84542294322132,8.87381228273465,8.93487833140209,8.96164542294322,9.11517960602549,5.02294322132097,1.03557358053302,1.23580533024334,1.10648899188876,1.16129779837775,1.07937427578216,1.2053302433372,1.02862108922364,1.03939745075319,1.03928157589803,1.11286210892236,1.08539976825029,1.08146002317497,1.13997682502897,1.1720741599073,1.05735805330243,1.1720741599073,1.09003476245655,0.969409038238702,5.75874855156431,NA,"6000010517",135709,"VP13240",2021-09-21,10.22,22.32,38.95,1.29,10.3,21.6,38.5,1.3,0.5,2.1,94.68,4.93,73.7,10.1,0.24,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.1,0.5,1,2.9,3.1,72.1,29.8,0.05,5.7,266,325,101,10.8,108.3,135.4,23.9,0.02,NA,NA,NA,NA,NA,900,"VP13240",135709,2021-09-23,"C1",NA,"MetPETFoil-Al-AC0, bds4f14",109797,2021-05-10,NA,"gamma"
"9","7000000342",880574,NA,NA,2021-05-08,NA,18994.8982248521,739.866272189349,115.125917159763,0.261589349112426,0.000679742721893491,121.960591715976,112.810769230769,104.45798816568,98.1857988165681,95.8637869822485,97.2756213017751,100.206863905325,103.362366863905,103.006272189349,101.496213017751,99.5751479289941,98.1783431952663,97.4369230769231,97.2204733727811,97.4979881656805,97.9339644970414,98.0678106508876,97.7024852071006,97.4042603550296,97.7076923076923,106.670295857988,111.707573964497,9.03112426035503,8.35325443786982,8.96390532544379,8.77585798816568,8.93810650887574,8.7392899408284,8.87917159763314,8.62260355029586,8.99704142011834,8.73846153846154,9.04355029585799,8.91076923076923,8.76366863905325,8.81881656804734,9.09739644970414,8.82532544378698,8.67005917159763,8.73751479289941,8.74236686390532,8.81905325443787,8.94852071005917,8.99502958579882,8.10343195266272,1.50757396449704,1.22710059171598,1.21384615384615,1.16568047337278,1.21408284023669,1.27704142011834,1.22781065088757,1.1996449704142,1.19195266272189,1.23147928994083,1.1891124260355,1.14,1.13822485207101,1.18686390532544,1.22272189349112,1.07680473372781,1.04934911242604,1.00153846153846,3.59218934911243,NA,"6000010459",135709,"VP13240",2021-09-14,10.12,21.99,38.095,1.27,10.3,21.7,38.4,1.29,0.1,-5.1,93.9,5.7,74.6,10.2,0.29,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,-0.6,0.5,0.9,-3.7,2.9,72.6,28.2,0.02,5.1,276,305,62.7,17.2,108.3,134.4,38.7,0.02,NA,NA,NA,NA,NA,684,"VP13240",135709,2021-09-16,"C1",NA,"MetPETFoil-Al-AC0, bds4f14",109797,2021-05-10,NA,"gamma"
"10","7000000342",880574,NA,NA,2021-05-08,NA,18994.8982248521,739.866272189349,115.125917159763,0.261589349112426,0.000679742721893491,121.960591715976,112.810769230769,104.45798816568,98.1857988165681,95.8637869822485,97.2756213017751,100.206863905325,103.362366863905,103.006272189349,101.496213017751,99.5751479289941,98.1783431952663,97.4369230769231,97.2204733727811,97.4979881656805,97.9339644970414,98.0678106508876,97.7024852071006,97.4042603550296,97.7076923076923,106.670295857988,111.707573964497,9.03112426035503,8.35325443786982,8.96390532544379,8.77585798816568,8.93810650887574,8.7392899408284,8.87917159763314,8.62260355029586,8.99704142011834,8.73846153846154,9.04355029585799,8.91076923076923,8.76366863905325,8.81881656804734,9.09739644970414,8.82532544378698,8.67005917159763,8.73751479289941,8.74236686390532,8.81905325443787,8.94852071005917,8.99502958579882,8.10343195266272,1.50757396449704,1.22710059171598,1.21384615384615,1.16568047337278,1.21408284023669,1.27704142011834,1.22781065088757,1.1996449704142,1.19195266272189,1.23147928994083,1.1891124260355,1.14,1.13822485207101,1.18686390532544,1.22272189349112,1.07680473372781,1.04934911242604,1.00153846153846,3.59218934911243,NA,"6000010392",135709,"VP13240",2021-09-02,10.24,22.51,39.53,1.3,10.7,22.7,41,1.33,0.5,1.8,94.54,5.2,76.3,9.9,0.2,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,-0.1,0.7,0.7,0.4,0.9,72.5,7.8,0.1,4.6,244,318,99.1,11.4,112.6,139.2,25,NA,NA,NA,NA,NA,NA,1102,"VP13240",135709,2021-09-06,"C1",NA,"MetPETFoil-Al-AC0, bds4f14",109797,2021-05-10,NA,"gamma"
"11","7000000452",981258,NA,NA,2021-07-06,NA,17907.6961009174,697.788990825688,96.3221330275229,0.253840596330275,0.000839943577981651,114.420986238532,109.356651376147,97.9064220183486,99.6275229357798,99.1829128440367,98.7508027522936,99.4405963302752,102.086926605505,93.8807339449541,101.101146788991,99.6391055045871,99.6752293577982,99.7067660550459,99.4905963302752,99.4674311926606,99.1224770642202,99.1142201834862,99.7732798165138,99.7889908256881,99.3560779816514,107.607110091743,112.10504587156,8.54598623853211,8.48646788990826,8.33715596330275,8.29266055045871,8.37752293577982,8.33371559633028,8.24977064220183,8.19311926605505,8.18876146788991,8.32924311926605,8.70160550458716,8.51433486238532,8.28761467889908,8.27603211009174,8.34197247706422,8.34174311926606,8.42110091743119,8.44025229357798,8.11479357798165,8.15699541284404,8.41525229357798,8.54105504587156,11.3646788990826,1.1118119266055,1.05997706422018,1.05057339449541,1.02052752293578,0.990366972477064,1.05114678899083,1.09094036697248,1.02649082568807,1.10401376146789,1.13864678899083,1.14908256880734,1.07924311926605,1.05871559633028,1.01857798165138,1.01204128440367,1.08211009174312,1.06949541284404,1.02947247706422,4.43233944954128,NA,"6000010447",135709,"VP13240",2021-09-12,11.095,22.82,38.72,1.21,11.4,22.7,39.7,1.25,NA,NA,97.03,2.82,71.7,9,0.1,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.4,NA,0.02,5.4,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,791,"VP13240",135709,2021-09-13,"C1",NA,"MetPETFoil-Al-AC0, bds4f14",109797,2021-07-07,NA,"gamma"
"12","7000000452",981258,NA,NA,2021-07-06,NA,17907.6961009174,697.788990825688,96.3221330275229,0.253840596330275,0.000839943577981651,114.420986238532,109.356651376147,97.9064220183486,99.6275229357798,99.1829128440367,98.7508027522936,99.4405963302752,102.086926605505,93.8807339449541,101.101146788991,99.6391055045871,99.6752293577982,99.7067660550459,99.4905963302752,99.4674311926606,99.1224770642202,99.1142201834862,99.7732798165138,99.7889908256881,99.3560779816514,107.607110091743,112.10504587156,8.54598623853211,8.48646788990826,8.33715596330275,8.29266055045871,8.37752293577982,8.33371559633028,8.24977064220183,8.19311926605505,8.18876146788991,8.32924311926605,8.70160550458716,8.51433486238532,8.28761467889908,8.27603211009174,8.34197247706422,8.34174311926606,8.42110091743119,8.44025229357798,8.11479357798165,8.15699541284404,8.41525229357798,8.54105504587156,11.3646788990826,1.1118119266055,1.05997706422018,1.05057339449541,1.02052752293578,0.990366972477064,1.05114678899083,1.09094036697248,1.02649082568807,1.10401376146789,1.13864678899083,1.14908256880734,1.07924311926605,1.05871559633028,1.01857798165138,1.01204128440367,1.08211009174312,1.06949541284404,1.02947247706422,4.43233944954128,NA,"6000010505",135709,"VP13240",2021-09-18,10.52,21.59,36.04,1.18,10.6,21.2,37,1.24,0.5,1.9,96.57,3.2,75.8,10.1,0.15,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,-0.2,0.2,1.1,2.4,2.6,69.8,0.1,0.03,5.4,295,349,102,9.5,103.3,130,22.1,0.01,NA,NA,NA,NA,NA,580,"VP13240",135709,2021-09-20,"C1",NA,"MetPETFoil-Al-AC0, bds4f14",109797,2021-07-07,NA,"gamma"
"13","7000000508",1047560,NA,NA,2021-08-31,NA,19114.8857526882,733.7125,112.903897849462,0.0490483870967742,0.00136093682795699,114.765322580645,109.758064516129,100,100,100,100,99.760752688172,100,100,100,100,100,100,100,100,100,100,100,100,100,109.744623655914,114.765322580645,9.29502688172043,9.12379032258064,9.15362903225807,9.09408602150538,8.79838709677419,8.81182795698925,8.75376344086022,8.7866935483871,9.0866935483871,8.58911290322581,9.19596774193548,8.79865591397849,8.87674731182796,8.69220430107527,9.08440860215054,8.77983870967742,8.92795698924731,8.85846774193548,8.81048387096774,8.71895161290323,9.12379032258064,9.14072580645161,11.3916666666667,0.953763440860215,0.905241935483871,0.970430107526882,1.04865591397849,0.85994623655914,0.725403225806452,0.80752688172043,0.836962365591398,0.912634408602151,0.933736559139785,0.976209677419355,1.00766129032258,1.04395161290323,1.02379032258065,0.893682795698925,0.899731182795699,0.863037634408602,0.916801075268817,2.52916666666667,NA,"6000011166",135709,"VP13240",2021-12-07,10.59,22.19,38.115,1.24,11.4,22.9,39.8,1.24,0.42,1.69,94.92,4.6,74,12.1,0.18,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,0.41,0.47,1.15,0.83,1.73,72.3,9.78,0.05,5.7,254,322,100,11.01,108.86,134.94,24.36,0.26,NA,NA,NA,NA,NA,905,"VP13240",135709,2021-12-08,"C1",NA,"MetPETFoil-Al-AC0, bds4f14",109797,2021-09-02,NA,"gamma"
